style	source	zoom	condition	prop_id	meaning	type	value
POI-CustomLandmark1-Globe	base			24	textColor	rgba8	rgb(255,255,255) a=255
POI-CustomLandmark1-Globe	cond		client:37=[1]	24	textColor	rgba8	rgb(255,255,255) a=255
POI-CustomLandmark1-Globe	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
POI-CustomLandmark-Globe	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
POI-Route-OnRouteWaypointIcon-Globe-Base	base			2	strokeColor	rgba8	rgb(26,133,255) a=204
POI-Children-Globe-Base	base			18	textSizeScale	float	0.7
POI-Children-Globe-Base	base			24	textColor	rgba8	rgb(255,255,255) a=255
POI-Children-Globe-Base	base			25	labelHaloColor	rgba8	rgb(0,0,0) a=255
POI-Children-Globe-Base	zoom	0-11		18	textSizeScale	float	1.2
POI-Children-Globe-Base	zoom	11-24		18	textSizeScale	float	1.83
POI-Children-Globe-Base	zoom	0-11		18	textSizeScale	float	1.2
POI-Children-Globe-Base	zoom	11-24		18	textSizeScale	float	1.83
POI-Children-Globe-Base	zoom	0-11		25	labelHaloColor	rgba8	rgb(28,38,50) a=199
POI-Children-Globe-Base	zoom	11-24		25	labelHaloColor	rgba8	rgb(28,38,50) a=219
POI-Children-Globe-Base	cond		client:135=[1]	25	labelHaloColor	rgba8	rgb(0,0,0) a=230
Grid-GlobeHybrid	base			1	fillColor	rgba8	rgb(81,81,81) a=255
Grid-GlobeHybrid	base			203	gridColor	rgba8	rgb(56,64,68) a=102
Grid-GlobeHybrid	cond		client:TimePeriod=[1] & client:MapMode=[0, 6]	1	fillColor	rgba8	rgb(43,45,47) a=255
Roads-Localized-JPN-Globe-Base	base			18	textSizeScale	float	1
Roads-Localized-JPN-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Globe-Base	zoom	8-14		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-Globe-Base	zoom	8-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(92,204,98) a=128
Roads-Localized-JPN-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=96
Roads-Localized-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(92,204,98) a=0
Roads-Localized-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-6		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-Globe-Base	zoom	0-6		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-Globe-Base	zoom	6-12		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-Globe-Base	zoom	6-12		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(223,219,211) a=128
Roads-Localized-JPN-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=96
Roads-Localized-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(210,204,193) a=0
Roads-Localized-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(74,63,53) a=230
Roads-Localized-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Roads-Localized-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Roads-Localized-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Roads-Localized-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	8-14		1	fillColor	rgba8	rgb(92,204,98) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	8-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(92,204,98) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=96
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(92,204,98) a=0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-6		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	0-6		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	6-12		1	fillColor	rgba8	rgb(210,204,193) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	6-12		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(223,219,211) a=128
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=96
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(210,204,193) a=0
Roads-Localized-JPN-ClassOne-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(74,63,53) a=230
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(170,179,179) a=255
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(162,171,171) a=255
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	3	width	float	0
Roads-Localized-JPN-ClassOne-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-14		1	fillColor	rgba8	rgb(40,72,53) a=255
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(40,72,53) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(40,72,53) a=0
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(19,21,26) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-12		1	fillColor	rgba8	rgb(210,204,193) a=64
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	0-12		2	strokeColor	rgba8	rgb(74,63,53) a=128
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(210,204,193) a=64
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(60,51,42) a=153
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	13-14		1	fillColor	rgba8	rgb(210,204,193) a=64
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	13-14		2	strokeColor	rgba8	rgb(60,51,42) a=102
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-15		1	fillColor	rgba8	rgb(210,204,193) a=51
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	14-15		2	strokeColor	rgba8	rgb(60,51,42) a=51
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(74,63,53) a=0
Roads-Localized-JPN-Tunnel-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(74,63,53) a=230
Roads-Localized-JPN-Tunnel-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Roads-Localized-JPN-Tunnel-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-ConnectorRoad-JPN-Globe-Base	zoom	8-10		1	fillColor	rgba8	rgb(223,230,230) a=230
Line-ConnectorRoad-JPN-Globe-Base	zoom	8-10		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(215,219,219) a=230
Line-ConnectorRoad-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(220,224,224) a=230
Line-ConnectorRoad-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(220,224,224) a=204
Line-ConnectorRoad-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	13-17		1	fillColor	rgba8	rgb(220,224,224) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	13-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-ConnectorRoad-JPN-Globe-Base	zoom	13-24		1	fillColor	rgba8	rgb(220,224,224) a=0
Line-ConnectorRoad-JPN-Globe-Base	zoom	13-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-ConnectorRoad-JPN-Globe-Base	zoom	0-9		1	fillColor	rgba8	rgb(192,192,165) a=77
Line-ConnectorRoad-JPN-Globe-Base	zoom	0-9		2	strokeColor	rgba8	rgb(92,74,58) a=102
Line-ConnectorRoad-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(181,180,176) a=64
Line-ConnectorRoad-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-ConnectorRoad-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(181,180,176) a=64
Line-ConnectorRoad-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-ConnectorRoad-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(171,167,161) a=128
Line-ConnectorRoad-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-ConnectorRoad-JPN-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(171,167,161) a=153
Line-ConnectorRoad-JPN-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=179
Line-ConnectorRoad-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(220,224,224) a=0
Line-ConnectorRoad-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-ConnectorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-ConnectorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-ConnectorRoad-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Line-ConnectorRoad-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-FreewayControlled-JPN-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(152,158,158) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-FreewayControlled-JPN-Globe-Base	zoom	8-9		1	fillColor	rgba8	rgb(163,168,168) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	8-9		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-FreewayControlled-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(111,81,44) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(19,21,26) a=96
Line-FreewayControlled-JPN-Globe-Base	zoom	10-14		1	fillColor	rgba8	rgb(182,191,191) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	10-14		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(200,204,204) a=128
Line-FreewayControlled-JPN-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(200,204,204) a=0
Line-FreewayControlled-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(173,179,179) a=0
Line-FreewayControlled-JPN-Globe-Base	zoom	0-9		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	0-9		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayControlled-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayControlled-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayControlled-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayControlled-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(188,182,169) a=204
Line-FreewayControlled-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(92,74,58) a=166
Line-FreewayControlled-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(210,206,198) a=168
Line-FreewayControlled-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(74,63,53) a=204
Line-FreewayControlled-JPN-Globe-Base	zoom	13-15		1	fillColor	rgba8	rgb(210,206,198) a=153
Line-FreewayControlled-JPN-Globe-Base	zoom	13-15		2	strokeColor	rgba8	rgb(74,63,53) a=204
Line-FreewayControlled-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(200,204,204) a=0
Line-FreewayControlled-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(173,179,179) a=0
Line-FreewayControlled-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-FreewayControlled-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-FreewayControlled-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Line-FreewayControlled-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	0-8		1	fillColor	rgba8	rgb(152,158,158) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	0-8		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	8-9		1	fillColor	rgba8	rgb(163,168,168) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	8-9		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(111,81,44) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(19,21,26) a=96
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	10-14		1	fillColor	rgba8	rgb(182,191,191) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	10-14		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(200,204,204) a=128
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(200,204,204) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(173,179,179) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	0-9		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	0-9		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(188,182,169) a=230
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(114,107,90) a=214
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(188,182,169) a=204
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(92,74,58) a=166
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(210,206,198) a=168
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(74,63,53) a=204
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	13-15		1	fillColor	rgba8	rgb(210,206,198) a=153
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	13-15		2	strokeColor	rgba8	rgb(74,63,53) a=204
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(200,204,204) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(173,179,179) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-FreewayUncontrolled-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Line-FreewayUncontrolled-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-Highway-JPN-Globe-Base	zoom	8-10		1	fillColor	rgba8	rgb(223,230,230) a=230
Line-Highway-JPN-Globe-Base	zoom	8-10		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-Highway-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(215,219,219) a=230
Line-Highway-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-Highway-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(220,224,224) a=230
Line-Highway-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-Highway-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(220,224,224) a=204
Line-Highway-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-Highway-JPN-Globe-Base	zoom	13-17		1	fillColor	rgba8	rgb(220,224,224) a=128
Line-Highway-JPN-Globe-Base	zoom	13-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-Highway-JPN-Globe-Base	zoom	13-24		1	fillColor	rgba8	rgb(220,224,224) a=0
Line-Highway-JPN-Globe-Base	zoom	13-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-Highway-JPN-Globe-Base	zoom	0-9		1	fillColor	rgba8	rgb(192,192,165) a=77
Line-Highway-JPN-Globe-Base	zoom	0-9		2	strokeColor	rgba8	rgb(92,74,58) a=102
Line-Highway-JPN-Globe-Base	zoom	9-10		1	fillColor	rgba8	rgb(181,180,176) a=64
Line-Highway-JPN-Globe-Base	zoom	9-10		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-Highway-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(181,180,176) a=64
Line-Highway-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-Highway-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(171,167,161) a=128
Line-Highway-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(92,74,58) a=153
Line-Highway-JPN-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(171,167,161) a=153
Line-Highway-JPN-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(74,63,53) a=179
Line-Highway-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(220,224,224) a=0
Line-Highway-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-Highway-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-Highway-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-Highway-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Line-Highway-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-LocalMajorRoad-JPN-Globe-Base	zoom	0-12		1	fillColor	rgba8	rgb(225,230,230) a=230
Line-LocalMajorRoad-JPN-Globe-Base	zoom	0-12		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalMajorRoad-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(198,204,204) a=230
Line-LocalMajorRoad-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalMajorRoad-JPN-Globe-Base	zoom	13-14		1	fillColor	rgba8	rgb(227,232,232) a=230
Line-LocalMajorRoad-JPN-Globe-Base	zoom	13-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalMajorRoad-JPN-Globe-Base	zoom	14-17		1	fillColor	rgba8	rgb(227,232,232) a=128
Line-LocalMajorRoad-JPN-Globe-Base	zoom	14-17		2	strokeColor	rgba8	rgb(19,21,26) a=230
Line-LocalMajorRoad-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(227,232,232) a=0
Line-LocalMajorRoad-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-LocalMajorRoad-JPN-Globe-Base	zoom	0-11		1	fillColor	rgba8	rgb(129,128,121) a=153
Line-LocalMajorRoad-JPN-Globe-Base	zoom	0-11		2	strokeColor	rgba8	rgb(74,63,53) a=153
Line-LocalMajorRoad-JPN-Globe-Base	zoom	11-12		1	fillColor	rgba8	rgb(129,128,121) a=128
Line-LocalMajorRoad-JPN-Globe-Base	zoom	11-12		2	strokeColor	rgba8	rgb(74,63,53) a=153
Line-LocalMajorRoad-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(182,180,191) a=153
Line-LocalMajorRoad-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(74,63,53) a=230
Line-LocalMajorRoad-JPN-Globe-Base	zoom	13-14		1	fillColor	rgba8	rgb(182,180,175) a=204
Line-LocalMajorRoad-JPN-Globe-Base	zoom	13-14		2	strokeColor	rgba8	rgb(74,63,53) a=179
Line-LocalMajorRoad-JPN-Globe-Base	zoom	14-15		1	fillColor	rgba8	rgb(182,180,175) a=204
Line-LocalMajorRoad-JPN-Globe-Base	zoom	14-15		2	strokeColor	rgba8	rgb(74,63,53) a=179
Line-LocalMajorRoad-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(227,232,232) a=0
Line-LocalMajorRoad-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(193,199,199) a=0
Line-LocalMajorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-LocalMajorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-LocalMajorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	3	width	float	0
Line-LocalMajorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	12-13		1	fillColor	rgba8	rgb(225,230,230) a=230
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	12-13		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	13-14		1	fillColor	rgba8	rgb(217,222,222) a=230
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	13-14		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	14-16		1	fillColor	rgba8	rgb(227,232,232) a=128
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	14-16		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	17-24		1	fillColor	rgba8	rgb(227,232,232) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	17-24		2	strokeColor	rgba8	rgb(178,184,184) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	0-12		1	fillColor	rgba8	rgb(125,128,130) a=38
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	0-12		2	strokeColor	rgba8	rgb(125,128,130) a=38
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	12-15		1	fillColor	rgba8	rgb(125,128,130) a=64
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	12-15		2	strokeColor	rgba8	rgb(125,128,130) a=64
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	15-24		1	fillColor	rgba8	rgb(227,232,232) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	zoom	15-24		2	strokeColor	rgba8	rgb(178,184,184) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	1	fillColor	rgba8	rgb(213,219,219) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	cond+zoom	15-24	feature:TransitAgency=[1]	2	strokeColor	rgba8	rgb(213,219,219) a=0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	3	width	float	0
Line-LocalRoad-MinorRoad-JPN-Globe-Base	cond+zoom	17-24	feature:TransitAgency=[1]	6	strokeWidth	float	0
Line-MajorHighway-JPN-Globe-Base	zoom	8-10		1	fillColor	rgba8	rgb(223,230,230) a=230
Line-MajorHighway-JPN-Globe-Base	zoom	8-10		2	strokeColor	rgba8	rgb(19,21,26) a=128
Line-MajorHighway-JPN-Globe-Base	zoom	10-11		1	fillColor	rgba8	rgb(215,219,219) a=230
Line-MajorHighway-JPN-Globe-Base	zoom	10-11		2	strokeColor	rgba8	rgb(19,21,26) a=128
