stream_id	PropertyID	decoder(27)	read_as(26.1)	callers(26.1)
327	347	float	float×2	int64_t overrideValueWithStyle<×1 | md::LabelCoreStyleGroup::update×1
328	348	float	float×1	md::LabelCoreStyleGroup::update×1
330	350	fixedPoint12_4	float×2	md::LabelCoreStyleGroup::update×1 | oid md::LabelTextStyleGroup::update×1
332	352	fixedPoint12_4	float×1	int64_t GetRoadSignMetadataForStyleQuery×1
333	353	labelOccludedAppearance	unsigned int×1	md::LabelCoreStyleGroup::update×1
334	354	grlIconSizeGroup	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
335	355	fixedPoint0To1	float×1	md::LabelCoreStyleGroup::update×1
337	357	float	float×2	int64_t overrideValueWithStyle<×1 | md::LabelCoreStyleGroup::update×1
339	359	float	float×1	int64_t overrideValueWithStyle<×1
340	360	float	float×1	int64_t overrideValueWithStyle<×1
341	361	fixedPoint8_0	float×1	int64_t overrideValueWithStyle<×1
343	363	fixedPoint0To1	float×1	oid md::LabelTextStyleGroup::update×1
344	364	uint32	unsigned int×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
345	365	labelImageSource	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
347	367	labelTextSource	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
348	368	labelImageSource	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
349	369	uint8	unsigned char×2	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
350	370	float	float×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelCoreStyleGroup::update×1
351	371	bool	BOOL×1	int64_t md::LabelIconStyleGroup::update×1
352	372	uint32	unsigned int×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
353	373	float	float×3	int64_t md::RoadRenderLayer::layout×3
354	374	labelAnnotationLayout	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
355	375	labelAnnotationLayout	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
356	376	labelTextSource	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
357	377	labelImageSource	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
358	378	labelImageSource	unsigned int×2	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1 | oid md::LabelStyle::prepareAlternateStyles×1
366	386	bool	BOOL×1	int64_t md::LabelIconStyleGroup::update×1
367	387	fixedPoint6_2	float×1	int64_t GetRoadSignMetadataForStyleQuery×1
368	388	fixedPoint6_2	float×1	int64_t GetRoadSignMetadataForStyleQuery×1
373	393	uint8	unsigned char×1	md::LabelCoreStyleGroup::update×1
374	394	uint32	unsigned int×1	int64_t md::SceneQueryLogic::updateNavigationFlexBucketsForZoom×1
375	395	uint32	unsigned int×1	int64_t md::SceneQueryLogic::updateNavigationFlexBucketsForZoom×1
376	396	uint32	unsigned int×1	int64_t md::SceneQueryLogic::updateNavigationFlexBucketsForZoom×1
377	397	bool	BOOL×1	oid md::LabelTextStyleGroup::update×1
378	398	bool	BOOL×1	oid md::LabelTextStyleGroup::update×1
382	402	fixedPoint0to2_55	float×2	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
384	404	float	float×32	int64_t md::getRoadWidths×6 | oid md::PolylineOverlayStyle::layout×3 | oid md::_layoutPolygonGroup<md::PolygonTileData>×3 | int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke2StyleProperties>×3 | oid md::_layoutPolygonGroup<md::VenueTileData>×3 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke2StyleProperties>×3
387	407	bool	BOOL×6	int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke2StyleProperties>×1 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke2StyleProperties>×1 | oid md::PatternedBatch::layout×1 | oid md::TrailJunctionsResource::updateWithContext×1 | oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×1 | oid md::layoutElevatedPolygonMeshes<md::DaVinciGroundRenderable>×1
388	408	strokePosition	unsigned int×6	oid md::PolylineOverlayStyle::layout×1 | int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke2StyleProperties>×1 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke2StyleProperties>×1 | oid md::overlayComponents::VectorOverlay::drapingStyle×1 | oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×1 | oid md::layoutElevatedPolygonMeshes<md::DaVinciGroundRenderable>×1
390	409	uint32	unsigned int×2	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
391	410	uint32	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
392	411	labelUnitStyle	unsigned int×2	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
393	412	labelUnitStyle	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
395	414	float	float×3	int64_t md::RouteStyledOverlayBatch::StyleProperties::StyleProperties×3
398	417	float	float×1	oid md::PuckStyleInfo::update×1
401	420	fillPosition	unsigned int×12	oid md::_layoutPolygonGroup<md::PolygonTileData>×2 | int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke2StyleProperties>×2 | int64_t md::writeSourceConstants<md::PolygonTileData,md::Stroke1StyleProperties>×2 | oid md::_layoutPolygonGroup<md::VenueTileData>×2 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke2StyleProperties>×2 | int64_t md::writeSourceConstants<md::VenueTileData,md::Stroke1StyleProperties>×2
406	425	float	float×3	int64_t md::RouteStyledOverlayBatch::StyleProperties::StyleProperties×3
407	426	float	float×3	int64_t md::RouteStyledOverlayBatch::StyleProperties::StyleProperties×3
413	432	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
414	433	float	float×1	int64_t md::LabelIconStyleGroup::update×1
416	435	float	float×1	md::LabelCoreStyleGroup::update×1
417	436	float	float×1	md::LabelCoreStyleGroup::update×1
418	437	float	float×3	md::RouteLineSection::halfWidthAtZoom×3
420	439	fixedPoint8_0	float×1	oid md::LabelTextStyleGroup::update×1
422	441	float	float×1	oid md::PuckStyleInfo::update×1
423	442	float	float×3	oid md::DaVinciTrafficLayer::layout×3
424	443	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelComponentStyleGroup>×1
425	444	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelComponentStyleGroup>×1
426	445	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelComponentStyleGroup>×1
427	446	float	float×1	md::LabelCoreStyleGroup::update×1
428	447	float	float×1	md::LabelCoreStyleGroup::update×1
429	448	fixedPoint0To1	float×1	int64_t md::RouteStyleContext::RouteStyleContext×1
430	449	float	float×1	md::LabelCoreStyleGroup::update×1
431	450	float	float×1	md::LabelCoreStyleGroup::update×1
432	451	linePlacement	unsigned int×1	oid ___ZNK2md29DaVinciTrafficLayerDataSource15createLayerDataERKN3gdc19LayerDataRequestKeyERKN3geo10linear_mapItNSt3__113unordered_mapINS1_11ResourceKeyENS7_10shared_ptrINS1_8ResourceEEENS1_15ResourceKeyHashENS7_8equal_toIS9_EENS7_9allocatorINS7_4pairIKS9_SC_EEEEEENSE_ItEENSG_INSH_ItSL_EEEENS7_6vectorISN_SO_EEEEx_block_invoke×1
433	452	occlusionBehavior	unsigned int×1	oid md::PuckStyleInfo::update×1
434	453	occlusionVisibility	unsigned int×1	oid md::PuckStyleInfo::update×1
435	454	externalFeatureCategory	unsigned int×1	oid md::LabelStyle::updateZoomInvariantStyles×1
437	456	float	float×3	oid md::LightingLogic::writeLogicContext×3
438	457	fixedPoint0To1	float×3	oid md::LightingLogic::writeLogicContext×3
439	458	fixedPoint0To1	float×3	oid md::LightingLogic::writeLogicContext×3
441	460	bool	BOOL×2	int64_t std::__function::__func<md::LabelStyle::updateZoomInvariantStyles×1 | md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
443	462	float	float×3	oid md::TrailJunctionsResource::updateWithContext×3
444	463	bool	BOOL×1	oid md::TrailJunctionsResource::updateWithContext×1
445	464	float	float×3	int64_t md::RouteStyleContext::RouteStyleContext×3
446	465	float	float×1	oid md::PatternedBatch::layout×1
447	466	float	float×6	oid md::_layoutPolygonGroup<md::PolygonTileData>×3 | oid md::_layoutPolygonGroup<md::VenueTileData>×3
448	467	strokePosition	unsigned int×2	oid md::_layoutPolygonGroup<md::PolygonTileData>×1 | oid md::_layoutPolygonGroup<md::VenueTileData>×1
449	468	maskTarget	unsigned int×1	int64_t md::_maskTarget×1
450	469	uint8	unsigned char×2	oid md::MapStandardLabeler::synchronizedUpdate×1 | md::LabelCoreStyleGroup::update×1
451	470	uint32	unsigned int×2	oid md::MapStandardLabeler::synchronizedUpdate×1 | md::LabelCoreStyleGroup::update×1
452	471	float	float×3	oid md::PolylineOverlayStyle::layout×2 | md::MaskingOverlayMeshProcessor::processPolygons×1
453	472	fixedPoint8_8	float×2	oid md::PolylineOverlayStyle::layout×2
455	474	uint8	unsigned char×1	int64_t md::LabelIconStyleGroup::update×1
456	475	fixedPoint8_8	float×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
457	476	fixedPoint12_4	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
458	477	labelPosition	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
459	478	fixedPoint5_3	float×1	md::FontSizeInfo::update×1
460	479	fixedPoint5_3	float×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
461	480	maneuverDisplayMode	unsigned int×1	md::RouteRenderLayer::layout×1
462	481	bool	BOOL×1	md::RouteRenderLayer::layout×1
463	482	float	float×3	oid md::LabelTextStyleGroup::update×2 | oid md::AccessibilityHelper::adjustedColor<×1
464	483	float	float×2	int64_t GetRoadSignMetadataForStyleQuery×1 | oid md::LabelTextStyleGroup::update×1
465	484	float	float×1	oid md::LabelTextStyleGroup::update×1
466	485	float	float×2	int64_t GetRoadSignMetadataForStyleQuery×1 | oid md::LabelTextStyleGroup::update×1
467	486	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
468	487	float	float×1	oid md::RouteLineArrowLayer::layout×1
469	488	float	float×1	oid md::RouteLineArrowLayer::layout×1
470	489	float	float×27	OOL md::setupSharedStylingParameters×6 | oid _setupSinglePassRenderItem×6 | int64_t md::RoadRenderLayer::layout×3 | oid md::AccessibilityHelper::adjustedSampledColorAtZ<×3 | oid md::DaVinciTrafficLayer::layout×3 | oid std::__function::__func<md::VenueRenderLayer::_layoutVenueWalls×3
471	490	float	float×5	oid md::AccessibilityHelper::adjustedSampledColorAtZ<×3 | oid md::AccessibilityHelper::adjustedColorAtZ<×2
472	491	float	float×1	oid md::CoastlineRenderLayer::layout×1
473	492	float	float×1	oid md::CoastlineRenderLayer::layout×1
474	493	float	float×2	int64_t GetRoadSignMetadataForStyleQuery×1 | oid std::__function::__func<md::VenueRenderLayer::_layoutOpenToBelowAreas×1
476	495	float	float×4	oid std::__function::__func<md::VenueRenderLayer::_layoutVenueWalls×3 | oid md::AccessibilityHelper::adjustedColorAtZ<×1
477	496	float	float×1	oid md::AccessibilityHelper::adjustedColorAtZ<×1
478	497	float	float×1	oid md::AccessibilityHelper::adjustedColorAtZ<×1
479	498	float	float×3	oid md::RoadStyling::update×3
480	499	float	float×3	oid md::RoadStyling::update×3
481	500	float	float×1	oid md::AccessibilityHelper::adjustedColorAtZ<×1
482	501	float	float×1	oid md::PuckStyleInfo::update×1
483	502	float	float×1	oid md::PuckStyleInfo::update×1
484	503	float	float×1	oid md::PuckStyleInfo::update×1
486	505	float	float×3	int64_t md::RouteStyleContext::RouteStyleContext×3
488	507	float	float×1	int64_t md::RouteStyleContext::RouteStyleContext×1
489	508	float	float×4	oid md::PatternedBatch::layout×4
	0	-	float×3, gm::Matrix<float,2,1>×1, unsigned int×1	oid md::CoastlineRenderLayer::layout×3 | int64_t GetRoadSignMetadataForStyleQuery×1 | int64_t gss::RenderStyle<gss::PropertyID>::sampledValueForKeyAtZ<unsigned int>×1
	1	-	float×3	oid md::CoastlineRenderLayer::layout×3
	2	-	float×3	oid std::__function::__func<md::VenueRenderLayer::_layoutVenueWalls×3
	9	-	float×4	int64_t GetRoadSignMetadataForStyleQuery×2 | md::FontSizeInfo::update×2
	47	-	float×1	loat md::trafficSecondaryWidthForSpeedAtZ×1
	48	-	float×1	md::trafficWidthForSpeedAtZ×1
	49	-	float×1	OOL md::setupSharedStylingParameters×1
	50	-	float×1	OOL md::setupSharedStylingParameters×1
	51	-	float×1	OOL md::setupSharedStylingParameters×1
	52	-	float×1	OOL md::setupSharedStylingParameters×1
	58	-	float×1	loat md::trafficSecondaryWidthForSpeedAtZ×1
