stream_id	PropertyID	decoder(27)	read_as(26.1)	callers(26.1)
103	170	labelIconStyle	unsigned int×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelCoreStyleGroup::update×1
122	186	uint32	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
123	187	fixedPoint0To1	float×1	int64_t md::LabelIconStyleGroup::update×1
125	189	shieldSize	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
126	190	uint32	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
127	191	float	float×1	md::FontSizeInfo::update×1
128	192	shieldSize	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
129	193	float	float×1	md::LabelCoreStyleGroup::update×1
130	194	fixedPoint0To1	float×9	oid md::COverlayRenderLayer::layoutResource×3 | oid md::HillshadeRenderLayer::layout×3 | int64_t md::RouteStyledOverlayBatch::StyleProperties::StyleProperties×3
159	206	bool	BOOL×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
164	207	shieldSize	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
166	209	labelTextSource	unsigned int×1	int64_t md::LabelIconStyleGroup::update×1
167	210	labelTextSource	unsigned int×2	md::LabelCoreStyleGroup::update×2
169	212	labelColorSource	unsigned int×2	int64_t md::LabelIconStyleGroup::update×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
170	213	labelColorSource	unsigned int×1	oid md::LabelTextStyleGroup::update×1
176	214	bool	BOOL×1	md::LabelCoreStyleGroup::update×1
177	215	bool	BOOL×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
178	216	bool	BOOL×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
180	218	fixedPoint0To1	float×1	int64_t md::LabelIconStyleGroup::update×1
181	219	int32	int×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
185	222	fixedPoint0To1	float×1	oid md::NavLabel::layoutForStagingWithNavContext×1
186	223	labelPositioningMode	unsigned int×1	md::LabelCoreStyleGroup::update×1
187	224	labelPosition	unsigned int×1	md::LabelCoreStyleGroup::update×1
188	225	labelPosition	unsigned int×1	md::LabelCoreStyleGroup::update×1
189	226	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
190	227	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
192	228	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
193	229	labelPositionAnchor	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
194	230	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
195	231	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
197	233	labelPosition	unsigned int×2	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelComponentStyleGroup>×1
198	234	float	float×3	md::LabelCoreStyleGroup::update×3
199	235	int32	int×1	md::LabelCoreStyleGroup::update×1
200	236	labelCollisionOverlayGroup	unsigned int×2	oid md::MapStandardLabeler::synchronizedUpdate×1 | md::LabelCoreStyleGroup::update×1
201	237	int32	int×1	oid md::MapStandardLabeler::synchronizedUpdate×1
210	243	fixedPoint5_3	float×3	md::RouteLineSection::halfWidthAtZoom×1 | oid md::RouteRenderLayer::layoutArrowsAndManeuverPoints×1 | oid md::RouteLineArrowLayer::layout×1
211	244	float	float×3	md::RouteLineSection::halfWidthAtZoom×1 | oid md::RouteRenderLayer::layoutArrowsAndManeuverPoints×1 | oid md::RouteLineArrowLayer::layout×1
212	245	float	float×3	md::RouteLineSection::halfWidthAtZoom×1 | oid md::RouteRenderLayer::layoutArrowsAndManeuverPoints×1 | oid md::RouteLineArrowLayer::layout×1
214	246	fixedPoint0To1	float×1	oid md::PuckStyleInfo::update×1
215	247	fixedPoint0To1	float×1	oid md::PuckStyleInfo::update×1
218	250	float	float×3	oid md::PuckStyleInfo::update×3
219	251	float	float×1	oid md::PuckStyleInfo::update×1
230	262	fixedPoint5_3	float×1	md::RouteRenderLayer::layout×1
231	263	fixedPoint5_3	float×1	md::RouteRenderLayer::layout×1
232	264	float	float×2	int64_t md::TransitLine::resolveStyleIfNecessary×2
238	265	bool	BOOL×1	int64_t md::TransitLine::resolveStyleIfNecessary×1
239	266	float	float×1	oid md::LocalNorthLogic::runBeforeLayout×1
240	267	uint32	unsigned int×1	int64_t md::TransitLine::resolveStyleIfNecessary×1
