op	n	cls	op_en	name_en	osm_name	how	segments_in_tiles
こうべ未来都市機構	摩耶ケーブル線	cable				unmatched	34
ラクテンチ	別府ラクテンチケーブル線	cable				unmatched	40
一般財団法人青函トンネル記念館	青函トンネル竜飛斜坑線	cable		Seikan Tunnel Tappi Shako Line	青函トンネル竜飛斜坑線	exact (no operator on way) (relation)	31
丹後海陸交通	天橋立鋼索鉄道	cable		Tango Land Amanohashidate Steel Railway	天橋立鋼索鉄道	alias	31
京福電気鉄道	鋼索線	cable	Keifuku	Cable Line	鋼索線	exact	31
京阪電気鉄道	鋼索線	cable	Keihan	Iwashimizu-Hachimangu-Sando-Cable	石清水八幡宮参道ケーブル	alias	52
十国峠	十国鋼索線	cable	Izuhakone Railway	Jukkokutoge Cable Line	十国鋼索線	alias (no operator on way)	29
南海電気鉄道	鋼索線	cable	Nankai	Cable Line	鋼索線	exact	31
四国ケーブル	八栗ケーブル	cable				unmatched	29
大山観光電鉄	大山鋼索線	cable				unmatched	53
小田急箱根	鋼索線	cable	Hakone Tozan	Cable Car	小田急箱根鋼索線	alias	122
御岳登山鉄道	ケーブルカー	cable		Mitake Tozan Railway	御岳登山鉄道	operator-named (no operator on way) (relation)	28
比叡山鉄道	比叡山鉄道線	cable		Hieizan Railway	比叡山鉄道	operator-named	71
湘南モノレール	江の島線	cable	Shonan Monorail	Enoshima Line	江の島線	exact (relation)	182
皿倉登山鉄道	帆柱ケーブル線	cable				unmatched	33
神戸六甲鉄道	六甲ケーブル線	cable		Rokko Cable Line	六甲ケーブル線	exact	33
立山黒部貫光	鋼索線	cable				unmatched	72
筑波観光鉄道	筑波山鋼索鉄道線	cable		Tsukubasan Cable Car	筑波山ケーブルカー	alias (no operator on way)	32
近畿日本鉄道	生駒鋼索線	cable	Kintetsu	Ikoma Cable Line	生駒鋼索線	exact	95
近畿日本鉄道	西信貴鋼索線	cable	Kintetsu			unmatched	30
鞍馬寺	鞍馬山鋼索鉄道	cable		Kurama-dera Cable	鞍馬寺ケーブル	alias (no operator on way)	25
高尾登山電鉄	高尾鋼索線	cable		Takao Tozan Railway	高尾登山電鉄	operator-named (no operator on way)	33
九州旅客鉄道	三角線	jr	JR	Misumi Line	三角線	exact	240
九州旅客鉄道	久大線	jr	JR	Kyudai Main Line	久大線	exact	984
九州旅客鉄道	佐世保線	jr	JR	Sasebo Line	佐世保線	exact	413
九州旅客鉄道	吉都線	jr	JR	Kitto Line	吉都線	exact	503
九州旅客鉄道	唐津線	jr	JR	Karatsu Line	唐津線	exact	359
九州旅客鉄道	大村線	jr	JR	Omura Line	大村線	exact	388
九州旅客鉄道	宮崎空港線	jr	JR	Miyazaki Kuko Line	宮崎空港線	exact	56
九州旅客鉄道	山陽線	jr	JR	San'yo Main Line	山陽線	exact	41
九州旅客鉄道	後藤寺線	jr	JR	Gotoji Line	後藤寺線	exact	165
九州旅客鉄道	指宿枕崎線	jr	JR	Ibusuki Makurazaki Line	指宿枕崎線	exact	874
九州旅客鉄道	日南線	jr	JR	Nichinan Line	日南線	exact	714
九州旅客鉄道	日田彦山線	jr	JR	Hitahikosan Line	日田彦山線	exact	633
九州旅客鉄道	日豊線	jr	JR	Nippo Main Line	日豊線	exact	3448
九州旅客鉄道	筑肥線	jr	JR	Chikuhi Line	筑肥線	exact	748
九州旅客鉄道	筑豊線	jr	JR	Chikuho Main Line	筑豊本線	norm	693
九州旅客鉄道	篠栗線	jr	JR	Sasaguri Line	篠栗線	exact	277
九州旅客鉄道	肥薩線	jr	JR	Hisatsu Line	肥薩線	exact	939
九州旅客鉄道	豊肥線	jr	JR	Hohi Main Line	豊肥線	exact	1041
九州旅客鉄道	長崎線	jr	JR	Nagasaki Main Line	長崎線	exact	1255
九州旅客鉄道	香椎線	jr	JR	Kashii Line	香椎線	exact	393
九州旅客鉄道	鹿児島線	jr	JR	Kagoshima Main Line	鹿児島本線	norm	2992
北海道旅客鉄道	函館線	jr	JR	Hakodate Line	函館本線	norm	3385
北海道旅客鉄道	千歳線	jr	JR	Chitose Line	千歳線	exact	586
北海道旅客鉄道	宗谷線	jr	JR	Soya Line	宗谷本線	norm	1528
北海道旅客鉄道	室蘭線	jr	JR	Muroran Line	室蘭本線	norm	1638
北海道旅客鉄道	富良野線	jr	JR	Furano Line	富良野線	exact	452
北海道旅客鉄道	日高線	jr	JR	Hidaka Line	日高本線	norm (no operator on way) (relation)	125
北海道旅客鉄道	札沼線	jr	JR	Sassho Line	札沼線	exact	386
北海道旅客鉄道	根室線	jr	JR	Nemuro Line	根室本線	norm	1918
北海道旅客鉄道	海峡線	jr	JR	Kaikyo Line	海峡線	exact	289
北海道旅客鉄道	留萌線	jr	JR	Rumoi Line	留萌線	exact (no operator on way) (relation)	137
北海道旅客鉄道	石勝線	jr	JR	Sekisho Line	石勝線	exact	484
北海道旅客鉄道	石北線	jr	JR	Sekihoku Line	石北本線	norm	1298
北海道旅客鉄道	釧網線	jr	JR	Senmo Main Line	釧網本線	norm	819
四国旅客鉄道	予土線	jr	JR	Yodo Line	予土線	exact	510
四国旅客鉄道	予讃線	jr	JR	Yosan Line	予讃線	exact	2621
四国旅客鉄道	内子線	jr	JR	Uchiko Line	内子線	exact	77
四国旅客鉄道	土讃線	jr	JR	Dosan Line	土讃線	exact	1605
四国旅客鉄道	徳島線	jr	JR	Tokushima Line	徳島線	exact	591
四国旅客鉄道	本四備讃線	jr	JR	Honshi-Bisan Line	本四備讃線	exact	119
四国旅客鉄道	牟岐線	jr	JR	Mugi Line	牟岐線	exact	729
四国旅客鉄道	高徳線	jr	JR	Kotoku Line	高徳線	exact	764
四国旅客鉄道	鳴門線	jr	JR	Naruto Line	鳴門線	exact	167
東日本旅客鉄道	上越線	jr	JR	Joetsu Line	上越線	exact	1701
東日本旅客鉄道	両毛線	jr	JR	Ryomo Line	両毛線	exact	577
東日本旅客鉄道	中央線	jr	JR	Chuo Line	中央線	exact	2734
東日本旅客鉄道	久留里線	jr	JR	Kururi Line	久留里線	exact (no operator on way)	333
東日本旅客鉄道	五日市線	jr	JR	Itsukaichi Line	五日市線	exact	163
東日本旅客鉄道	五能線	jr	JR	Gono Line	五能線	exact	1173
東日本旅客鉄道	京葉線	jr	JR	Keiyo Line	京葉線	exact	580
東日本旅客鉄道	仙山線	jr	JR	Senzan Line	仙山線	exact	534
東日本旅客鉄道	仙石線	jr	JR	Senseki Line	仙石線	exact	774
東日本旅客鉄道	伊東線	jr	JR	Ito Line	伊東線	exact	139
東日本旅客鉄道	信越線	jr	JR	Shin-etsu Line	信越線	exact	1810
東日本旅客鉄道	八戸線	jr	JR	Hachinohe Line	八戸線	exact	633
東日本旅客鉄道	八高線	jr	JR	Hachiko Line	八高線	exact	677
東日本旅客鉄道	内房線	jr	JR	Uchibo Line	内房線	exact	924
東日本旅客鉄道	北上線	jr	JR	Kitakami Line	北上線	exact	434
東日本旅客鉄道	南武線	jr	JR	Nambu Line	南武線	exact	705
東日本旅客鉄道	只見線	jr	JR	Tadami Line	只見線	exact	907
東日本旅客鉄道	吾妻線	jr	JR	Agatsuma Line	吾妻線	exact	497
東日本旅客鉄道	外房線	jr	JR	Sotobo Line	外房線	exact	834
東日本旅客鉄道	大湊線	jr	JR	Ominato Line	大湊線	exact	349
東日本旅客鉄道	大糸線	jr	JR	Oito Line	大糸線	exact	903
東日本旅客鉄道	大船渡線	jr	JR	Ofunato Line	大船渡線	exact	390
東日本旅客鉄道	奥羽線	jr	JR	Ou Line	奥羽線	exact	3874
東日本旅客鉄道	小海線	jr	JR	Koumi Line	小海線	exact	753
東日本旅客鉄道	山手線	jr	JR	Yamanote Line	山手線	exact	584
東日本旅客鉄道	山田線	jr	JR	Yamada Line	山田線	exact	517
東日本旅客鉄道	川越線	jr	JR	Kawagoe Line	川越線	exact	270
東日本旅客鉄道	左沢線	jr	JR	Aterazawa Line	左沢線	exact	299
東日本旅客鉄道	常磐線	jr	JR	Joban Line	常磐線	exact	2553
東日本旅客鉄道	弥彦線	jr	JR	Yahiko Line	弥彦線	exact	210
東日本旅客鉄道	成田線	jr	JR	Narita Line	成田線	exact	892
東日本旅客鉄道	日光線	jr	JR	Nikko Line	日光線	exact	230
東日本旅客鉄道	東北線	jr	JR	Tohoku Line	東北線	exact	5394
東日本旅客鉄道	東海道線	jr	JR	Tokaido Main Line	東海道本線	norm	1603
東日本旅客鉄道	東金線	jr	JR	Togane Line	東金線	exact	147
東日本旅客鉄道	根岸線	jr	JR	Negishi Line	根岸線	exact	284
東日本旅客鉄道	横浜線	jr	JR	Yokohama Line	横浜線	exact	528
東日本旅客鉄道	横須賀線	jr	JR	Yokosuka Line	横須賀線	exact	294
東日本旅客鉄道	武蔵野線	jr	JR	Musashino Line	武蔵野線	exact	699
東日本旅客鉄道	気仙沼線	jr	JR	Kesennuma Line	気仙沼線	exact	154
東日本旅客鉄道	水戸線	jr	JR	Mito Line	水戸線	exact	418
東日本旅客鉄道	水郡線	jr	JR	Suigun Line	水郡線	exact	1187
東日本旅客鉄道	津軽線	jr	JR	Tsugaru Line	津軽線	exact	659
東日本旅客鉄道	烏山線	jr	JR	Karasuyama Line	烏山線	exact	212
東日本旅客鉄道	田沢湖線	jr	JR	Tazawako Line	田沢湖線	exact	565
東日本旅客鉄道	男鹿線	jr	JR	Oga Line	男鹿線	exact	255
東日本旅客鉄道	白新線	jr	JR	Hakushin Line	白新線	exact	340
東日本旅客鉄道	相模線	jr	JR	Sagami Line	相模線	exact	420
東日本旅客鉄道	石巻線	jr	JR	Ishinomaki Line	石巻線	exact	398
東日本旅客鉄道	磐越東線	jr	JR	Banetsu East Line	磐越東線	exact	534
東日本旅客鉄道	磐越西線	jr	JR	Banetsu West Line	磐越西線	exact	1199
東日本旅客鉄道	篠ノ井線	jr	JR	Shinonoi Line	篠ノ井線	exact	453
東日本旅客鉄道	米坂線	jr	JR	Yonesaka Line	米坂線	exact	594
東日本旅客鉄道	総武線	jr	JR	Sobu Main Line	総武本線	norm	1367
東日本旅客鉄道	羽越線	jr	JR	Uetsu Line	羽越線	exact	2103
東日本旅客鉄道	花輪線	jr	JR	Hanawa Line	花輪線	exact	773
東日本旅客鉄道	赤羽線	jr	JR	Akabane Line	赤羽線	exact	99
東日本旅客鉄道	越後線	jr	JR	Echigo Line	越後線	exact	853
東日本旅客鉄道	釜石線	jr	JR	Kamaishi Line	釜石線	exact	630
東日本旅客鉄道	陸羽東線	jr	JR	Rikuu East Line	陸羽東線	exact	752
東日本旅客鉄道	陸羽西線	jr	JR	Rikuu West Line	陸羽西線	exact	310
東日本旅客鉄道	青梅線	jr	JR	Ome Line	青梅線	exact	636
東日本旅客鉄道	飯山線	jr	JR	Iiyama Line	飯山線	exact	804
東日本旅客鉄道	高崎線	jr	JR	Takasaki Line	高崎線	exact	673
東日本旅客鉄道	鶴見線	jr	JR	Tsurumi Line	鶴見線	exact	309
東日本旅客鉄道	鹿島線	jr	JR	Kashima Line	鹿島線	exact (no operator on way)	183
東海旅客鉄道	中央線	jr	JR	Chuo Line	中央線	exact	1678
東海旅客鉄道	参宮線	jr	JR	Sangu Line	参宮線	exact	272
東海旅客鉄道	名松線	jr	JR	Meisho Line	名松線	exact	380
東海旅客鉄道	太多線	jr	JR	Taita Line	太多線	exact	217
東海旅客鉄道	御殿場線	jr	JR	Gotemba Line	御殿場線	exact	591
東海旅客鉄道	東海道線	jr	JR	Tokaido Main Line	東海道本線	norm	3082
東海旅客鉄道	武豊線	jr	JR	Taketoyo Line	武豊線	exact	282
東海旅客鉄道	紀勢線	jr	JR	Kisei Line	紀勢線	exact	1227
東海旅客鉄道	身延線	jr	JR	Minobu Line	身延線	exact	1027
東海旅客鉄道	関西線	jr	JR	Kansai Line	関西線	exact	602
東海旅客鉄道	飯田線	jr	JR	Iida Line	飯田線	exact	2514
東海旅客鉄道	高山線	jr	JR	Takayama Line	高山線	exact	1089
西日本旅客鉄道	JR東西線	jr	JR	Tozai Line	JR東西線	exact	230
西日本旅客鉄道	おおさか東線	jr	JR	Osaka Higashi Line	おおさか東線	exact	328
西日本旅客鉄道	七尾線	jr	JR	Nanao Line	七尾線	exact	510
西日本旅客鉄道	伯備線	jr	JR	Hakubi Line	伯備線	exact	1034
西日本旅客鉄道	加古川線	jr	JR	Kakogawa Line	加古川線	exact	630
西日本旅客鉄道	北陸線	jr	JR	Hokuriku Main Line	北陸本線	norm	698
西日本旅客鉄道	博多南線	jr	JR	Hakata-Minami Line	博多南線	exact	82
西日本旅客鉄道	可部線	jr	JR	Kabe Line	可部線	exact	301
西日本旅客鉄道	吉備線	jr	JR	Kibi Line	吉備線	exact	225
西日本旅客鉄道	呉線	jr	JR	Kure Line	呉線	exact	800
西日本旅客鉄道	和歌山線	jr	JR	Wakayama Line	和歌山線	exact	1081
西日本旅客鉄道	因美線	jr	JR	Inbi Line	因美線	exact	539
西日本旅客鉄道	城端線	jr	JR	Johana Line	城端線	exact	365
西日本旅客鉄道	境線	jr	JR	Sakai Line	境線	exact	394
西日本旅客鉄道	大糸線	jr	JR	Oito Line	大糸線	exact	251
西日本旅客鉄道	大阪環状線	jr	JR	Osaka Loop Line	大阪環状線	exact	490
西日本旅客鉄道	奈良線	jr	JR	Nara Line	奈良線	exact	448
西日本旅客鉄道	姫新線	jr	JR	Kishin Line	姫新線	exact	1075
西日本旅客鉄道	宇部線	jr	JR	Ube Line	宇部線	exact	423
西日本旅客鉄道	宇野線	jr	JR	Uno Line	宇野線	exact	366
西日本旅客鉄道	小浜線	jr	JR	Obama Line	小浜線	exact	627
西日本旅客鉄道	小野田線	jr	JR	Onoda Line	小野田線	exact	265
西日本旅客鉄道	山口線	jr	JR	Yamaguchi Line	山口線	exact	739
西日本旅客鉄道	山陰線	jr	JR	Sanin Main Line	山陰線	exact	4669
西日本旅客鉄道	山陽線	jr	JR	San'yo Main Line	山陽線	exact	4588
西日本旅客鉄道	岩徳線	jr	JR	Gantoku Line	岩徳線	exact	425
西日本旅客鉄道	播但線	jr	JR	Bantan Line	播但線	exact	503
西日本旅客鉄道	木次線	jr	JR	Kisuki Line	木次線	exact	532
西日本旅客鉄道	本四備讃線	jr	JR	Honshi-Bisan Line	本四備讃線	exact	120
西日本旅客鉄道	東海道線	jr	JR	Tokaido Main Line	東海道本線	norm	1749
西日本旅客鉄道	桜井線	jr	JR	Man'yo-Mahoroba Line	桜井線	exact	346
西日本旅客鉄道	桜島線	jr	JR	Sakurajima Line	桜島線	exact	99
西日本旅客鉄道	氷見線	jr	JR	Himi Line	氷見線	exact	178
西日本旅客鉄道	津山線	jr	JR	Tsuyama Line	津山線	exact	482
西日本旅客鉄道	湖西線	jr	JR	Kosei Line	湖西線	exact	606
西日本旅客鉄道	片町線	jr	JR	Katamachi Line	片町線	exact	571
西日本旅客鉄道	福塩線	jr	JR	Fukuen Line	福塩線	exact	683
西日本旅客鉄道	福知山線	jr	JR	Fukuchiyama Line	福知山線	exact	958
西日本旅客鉄道	紀勢線	jr	JR	Kisei Line	紀勢線	exact	1935
西日本旅客鉄道	美祢線	jr	JR	Mine Line	美祢線	exact	322
西日本旅客鉄道	舞鶴線	jr	JR	Maizuru Line	舞鶴線	exact	191
西日本旅客鉄道	芸備線	jr	JR	Geibi Line	芸備線	exact	1182
西日本旅客鉄道	草津線	jr	JR	Kusatsu Line	草津線	exact	388
西日本旅客鉄道	赤穂線	jr	JR	Ako Line	赤穂線	exact	519
西日本旅客鉄道	越美北線	jr	JR	Etsumi-Hoku Line	越美北線	exact	534
西日本旅客鉄道	関西空港線	jr	JR	Kansai Airport Line	関西空港線	exact	94
西日本旅客鉄道	関西線	jr	JR	Kansai Line	関西線	exact	1141
西日本旅客鉄道	阪和線	jr	JR	Hanwa Line	阪和線	exact	945
西日本旅客鉄道	高山線	jr	JR	Takayama Main Line	高山本線	norm	289
ゆりかもめ	東京臨海新交通臨海線	mono		Yurikamome	ゆりかもめ	alias	351
北九州高速鉄道	小倉線	mono				unmatched	269
千葉都市モノレール	1号線	mono		Chiba Urban Monorail Line 1	1号線	exact	129
千葉都市モノレール	2号線	mono		Chiba Urban Monorail Line 2	2号線	exact	281
名古屋ガイドウェイバス	ガイドウェイバス志段味線	mono				unmatched	181
埼玉新都市交通	伊奈線	mono		Saitama New Shuttle Ina Line	伊奈線	exact	262
多摩都市モノレール	多摩都市モノレール線	mono		Tama Monorail	多摩都市モノレール	alias	397
大阪モノレール	国際文化公園都市モノレール線(彩都線)	mono	Osaka Monorail	Saito Line	彩都線	alias	121
大阪モノレール	大阪モノレール線	mono	Osaka Monorail	Main Line	大阪モノレール本線	alias	305
大阪市高速電気軌道	南港ポートタウン線	mono	Osaka Metro	New Tram	ニュートラム	alias	207
山万	ユーカリが丘線	mono		Yamaman Yukarigaoka Line	ユーカリが丘線	exact	130
広島高速交通	広島新交通1号線	mono		Astram Line	広島新交通1号線	exact	460
愛知高速交通	東部丘陵線	mono	Aichi Rapid Transit	Tobu Kyuryo Line	東部丘陵線	exact	225
東京モノレール	東京モノレール羽田線	mono		Tokyo Monorail	東京モノレール	alias	266
東京都	日暮里・舎人ライナー	mono	Toei	Nippori-Toneri Liner	日暮里・舎人ライナー	exact	270
横浜シーサイドライン	金沢シーサイドライン	mono		Kanazawa Seaside Line	金沢シーサイドライン	exact	287
沖縄都市モノレール	沖縄都市モノレール線	mono		Okinawa Urban Monorail	沖縄都市モノレール線	exact	391
神戸新交通	ポートアイランド線	mono	Kobe New Transit	Port Liner	ポートライナー	alias	294
神戸新交通	六甲アイランド線	mono	Kobe New Transit	Rokko Liner	六甲ライナー	alias	144
舞浜リゾートライン	ディズニーリゾートライン	mono		Disney Resort Line	ディズニーリゾートライン	exact	89
西武鉄道	山口線	mono	Seibu	Yamaguchi Line	山口線	exact	52
JR東海交通事業	城北線	private		TKJ Johoku Line	城北線	exact (relation)	163
アルピコ交通	上高地線	private		Kamikochi Line	上高地線	exact	301
一畑電車	北松江線	private	Ichibata Electric Railway	Kita Matsue Line	北松江線	exact	564
一畑電車	大社線	private	Ichibata Electric Railway	Taisha Line	大社線	exact	127
三岐鉄道	三岐線	private	Sangi Railway	Sangi Line	三岐線	exact	324
三岐鉄道	北勢線	private	Sangi Railway	Hokusei Line	北勢線	exact	278
三岐鉄道	近鉄連絡線	private	Sangi Railway			unmatched	33
上信電鉄	上信線	private		Joshin Line	上信線	exact (relation)	456
上毛電気鉄道	上毛線	private	Jomo Electric Railway	Jomo Line	上毛線	exact	511
上田電鉄	別所線	private		Bessho Line	別所線	exact	308
京成電鉄	千原線	private	Keisei	Chihara Line	千原線	exact	132
京成電鉄	千葉線	private	Keisei	Chiba Line	千葉線	exact	220
京成電鉄	成田空港線	private	Keisei	Narita Airport Line	成田空港線	exact	303
京成電鉄	押上線	private	Keisei	Oshiage Line	押上線	exact	149
京成電鉄	本線	private	Keisei	Main Line	本線	exact	1080
京成電鉄	東成田線	private	Keisei	Higashi-Narita Line	東成田線	exact	49
京成電鉄	金町線	private	Keisei	Kanamachi Line	金町線	exact	64
京浜急行電鉄	久里浜線	private	Keikyu	Kurihama Line	久里浜線	exact	207
京浜急行電鉄	大師線	private	Keikyu	Daishi Line	大師線	exact	142
京浜急行電鉄	本線	private	Keikyu	Main Line	本線	exact	1165
京浜急行電鉄	空港線	private	Keikyu	Airport Line	空港線	exact	152
京浜急行電鉄	逗子線	private	Keikyu	Zushi Line	逗子線	exact	91
京王電鉄	井の頭線	private	Keio	railway Inokashira Line	井の頭線	exact	359
京王電鉄	京王線	private		Keio Line	京王線	exact	839
京王電鉄	動物園線	private	Keio	Zoo Line	動物園線	exact	42
京王電鉄	相模原線	private	Keio	Sagamihara Line	相模原線	exact	285
京王電鉄	競馬場線	private	Keio			unmatched	39
京王電鉄	高尾線	private	Keio	Takao Line	高尾線	exact	159
京阪電気鉄道	中之島線	private	Keihan	Nakanoshima Line	中之島線	exact	94
京阪電気鉄道	交野線	private	Keihan	Katano Line	交野線	exact (spelling fixed)	165
京阪電気鉄道	京阪本線	private		Keihan Main Line	京阪本線	exact	984
京阪電気鉄道	宇治線	private	Keihan	Uji Line	宇治線	exact	168
京阪電気鉄道	鴨東線	private	Keihan	Oto Line	鴨東線	exact (spelling fixed)	58
伊予鉄道	城北線	private	Iyotetsu	Johoku Line	城北線	exact	181
伊予鉄道	横河原線	private	Iyotetsu	Yokogawara Line	横河原線	exact	335
伊予鉄道	郡中線	private	Iyotetsu	Gunchu Line	郡中線	exact	255
伊予鉄道	高浜線	private	Iyotetsu	Takahama Line	高浜線	exact	237
伊豆急行	伊豆急行線	private		Izu Kyuko Line	伊豆急行線	exact (relation)	391
伊豆箱根鉄道	大雄山線	private	Izuhakone Railway	Daiyuzan Line	大雄山線	exact	258
伊豆箱根鉄道	駿豆線	private	Izuhakone Railway	Sunzu Line	駿豆線	exact	294
北陸鉄道	浅野川線	private	Hokuriku Railway	Asanogawa Line	浅野川線	exact (spelling fixed)	321
北陸鉄道	石川線	private	Hokuriku Railway	Ishikawa Line	石川線	exact (relation)	355
南海電気鉄道	加太線	private	Nankai	Kada Line	加太線	exact	192
南海電気鉄道	南海本線	private	Nankai	Main Line	南海本線	exact	1138
南海電気鉄道	和歌山港線	private	Nankai	Wakayamako Line	和歌山港線	exact	37
南海電気鉄道	多奈川線	private	Nankai	Tanagawa Line	多奈川線	exact	114
南海電気鉄道	空港線	private	Nankai	Airport Line	空港線	exact	92
南海電気鉄道	高師浜線	private	Nankai	Takashinohama Line	高師浜線	exact	65
南海電気鉄道	高野線	private	Nankai	Koya Line	高野線	exact	1069
叡山電鉄	叡山本線	private	Eizan	Main Line	叡山本線	exact (relation)	176
叡山電鉄	鞍馬線	private	Eizan	Kurama Line	鞍馬線	exact	218
名古屋鉄道	三河線	private	Meitetsu	Mikawa Line	三河線	exact	545
名古屋鉄道	各務原線	private	Meitetsu	Kakamigahara Line	各務原線	exact	383
名古屋鉄道	名古屋本線	private	Meitetsu	Nagoya Main Line	名古屋本線	exact	1593
名古屋鉄道	小牧線	private	Meitetsu	Komaki Line	小牧線	exact	345
名古屋鉄道	尾西線	private	Meitetsu	Bisai Line	尾西線	exact	540
名古屋鉄道	常滑線	private	Meitetsu	Tokoname Line	常滑線	exact	518
名古屋鉄道	広見線	private	Meitetsu	Hiromi Line	広見線	exact	277
名古屋鉄道	河和線	private	Meitetsu	Kowa Line	河和線	exact	465
名古屋鉄道	津島線	private	Meitetsu	Tsushima Line	津島線	exact	196
名古屋鉄道	瀬戸線	private	Meitetsu	Seto Line	瀬戸線	exact	422
名古屋鉄道	犬山線	private	Meitetsu	Inuyama Line	犬山線	exact	456
名古屋鉄道	知多新線	private	Meitetsu	Chita New Line	知多新線	exact	134
名古屋鉄道	空港線	private	Meitetsu	Airport Line	空港線	exact	66
名古屋鉄道	竹鼻線	private	Meitetsu	Takehana Line	竹鼻線	exact	198
名古屋鉄道	築港線	private	Meitetsu	Chikko Line	築港線	exact	30
名古屋鉄道	羽島線	private	Meitetsu	Hashima Line	羽島線	exact	35
名古屋鉄道	蒲郡線	private	Meitetsu	Gamagori Line	蒲郡線	exact	220
名古屋鉄道	西尾線	private	Meitetsu	Nishio Line	西尾線	exact	318
名古屋鉄道	豊田線	private	Meitetsu	Toyota Line	豊田線	exact	190
和歌山電鐵	貴志川線	private	Wakayama Electric Railway	Kishigawa Line	貴志川線	exact	313
大井川鐵道	井川線	private	Oigawa Railway	Ikawa Line	井川線	exact	318
大井川鐵道	大井川本線	private	Oigawa Railway	Oigawa Main Line	大井川本線	exact	456
